datetime,open,high,low,close,volumns
2022-06-16 00:00:00,1.008,1.024,0.899,0.909,117279159.3
2022-06-17 00:00:00,0.91,0.963,0.902,0.937,86036762.3
2022-06-18 00:00:00,0.937,0.949,0.814,0.886,167133389.9
2022-06-19 00:00:00,0.887,0.978,0.858,0.967,118360326.3
2022-06-20 00:00:00,0.966,0.987,0.922,0.962,106804387.7
2022-06-21 00:00:00,0.961,1.005,0.945,0.964,98749056.5
2022-06-22 00:00:00,0.964,0.964,0.916,0.925,106594434.4
2022-06-23 00:00:00,0.924,0.977,0.92,0.973,82004043.9
2022-06-24 00:00:00,0.974,1.021,0.973,1.004,107702051
2022-06-25 00:00:00,1.004,1.026,0.968,1.008,73632722.5
2022-06-26 00:00:00,1.008,1.039,0.986,0.989,84716854.6
2022-06-27 00:00:00,0.989,1.028,0.965,0.984,105660080.2
2022-06-28 00:00:00,0.984,1.004,0.939,0.944,106109454.2
2022-06-29 00:00:00,0.943,0.958,0.92,0.935,106577032.3
2022-06-30 00:00:00,0.935,0.938,0.868,0.925,118044132.7
2022-07-01 00:00:00,0.926,0.954,0.887,0.91,105293176
2022-07-02 00:00:00,0.911,0.944,0.899,0.938,67677709.1
2022-07-03 00:00:00,0.937,0.949,0.91,0.944,60743231.2
2022-07-04 00:00:00,0.943,0.989,0.918,0.986,87726149.1
2022-07-05 00:00:00,0.985,1.001,0.928,0.971,133452256.7
2022-07-06 00:00:00,0.97,1.009,0.956,0.998,77638752.5
2022-07-07 00:00:00,0.998,1.038,0.988,1.03,57477847.9
2022-07-08 00:00:00,1.03,1.072,1.003,1.013,76197215
2022-07-09 00:00:00,1.013,1.049,1.012,1.038,39609382.2
2022-07-10 00:00:00,1.038,1.039,0.995,1.002,53303414.6
2022-07-11 00:00:00,1.003,1.005,0.933,0.94,72630619.2
2022-07-12 00:00:00,0.94,0.95,0.914,0.915,63584318.5
2022-07-13 00:00:00,0.916,0.955,0.886,0.948,107377826.2
2022-07-14 00:00:00,0.949,0.978,0.914,0.971,82825046
2022-07-15 00:00:00,0.971,0.994,0.958,0.975,65186639.7
2022-07-16 00:00:00,0.974,1.015,0.95,1.008,66964229.6
2022-07-17 00:00:00,1.008,1.025,0.971,0.984,70563900.6
2022-07-18 00:00:00,0.984,1.069,0.981,1.055,98190385.4
2022-07-19 00:00:00,1.055,1.093,1.021,1.075,120064904
2022-07-20 00:00:00,1.075,1.103,1.026,1.04,151427404.3
2022-07-21 00:00:00,1.04,1.057,1.002,1.053,90106471.6
2022-07-22 00:00:00,1.052,1.217,1.037,1.175,300844683.1
2022-07-23 00:00:00,1.175,1.199,1.126,1.164,205055628.3
2022-07-24 00:00:00,1.164,1.264,1.16,1.202,216700609.3
2022-07-25 00:00:00,1.202,1.206,1.096,1.107,139893453.3
